director,screenwriter,title
Jo Soo-Won,Jo Sung-Hee,Thirty But Seventeen
Jung Dong-Yoon,Kang Cheol-Woong,Fates and Furies
Joo Dong-Min,Kim Sun-Ok,The Last Empress
Park Shin-Woo,Yoo Young-A,Encounter
Ham Joon-Ho,Kim Yoon-Young,My Strange Hero
"Park Joon-Hwa, Yoo Jong-Sun","Jung Kyung-Yoon (novel), Jung Eun-Young",What’s Wrong With Secretary Kim
Kim Ga-Ram,Choi Ji-Yeon,Devilish Joy
Jung Dae-Yoon,Kim Seon-Mi,I Am Not a Robot
Park Sun-Ho,Kwon Ki-Young,Suspicious Partner
Oh Hyun-Jong,Yang Hee-Seung,Weightlifting Fairy Kim Bok Joo
Hong Seok-Ku,Kim Sa-Kyung,My Only One
Jung Dae-Yoon,Song Jae-Jung,W
Kim Hee-Won,"Kim Sun-Deok, Shin Ha-Eun",The Crowned Clown
Lee Hwan-Jin,"Jo Hyo-jin, Kim Joo-hyung, Im Hyung-taek",Running Man
Lee Hyeong-Min,Baek Mi-Kyeong,Strong Woman Do Bong Soon
Jin Hyeok,Park Ji-Eun,The Legend of the Blue Sea
"Oh Choong-Hwan, Park Soo-Jin",Park Hye-Ryun,While You Were Sleeping
"Lee Eung-Bok, Baek Sang-Hoon, Yoo Jong-Sun","Kim Eun-Sook, Kim Won-Suk",Descendants of the Sun
Shin Woo-Cheol,Kang Eun-Kyung,Where Stars Land
"Kim Hyung-Suk, Lee Na-Jeong",Kim Eun-Ji,Oh My Venus
Yoon Jae-Moon,Hong Young-Hee,A Pledge to God
Yun Seong-Sik,Park Eun-Young,Hwarang
"Jang Tae-Yoo, Oh Choong-Hwan",Park Ji-Eun,My Love From the Star
"Oh Seung-Yul, Seo Jae-Joo","Han Sang-Im, Kim Jong-Sun, Shim Mi-Sun",Revenge Note 2
"Yasuharu Ishii, Osamu Katayama, Daisuke Yamamuro","Yoko Kamio, Yuki Fujimoto",Boys Over Flowers
"Kang In, Lee Dong-Hyun","Pierre Choderlos de Laclos (novel), Kim Bo-Yeon",Tempted
"Lee Jung-Sub, Kim Jin-Woo",Song Ji-Na,Healer
Lee Jae-Sang,Lee Jung-Sun,Father Is Strange
"Lee Dong-Yoon, Kim Hee-Won","Joo Chan-Ok, Jo Jin-Kuk",Fated to Love You
Kim Sung-Yong, Won Young-Ok,My Healing Love
Park Joon-Hwa,Yoon Nan-Joong,Because This Is My First Life
Yoo Je-Won,Song Hye-Jin,The Smile Has Left Your Eyes
Jo Soo-Won,Park Hye-Ryun,Pinocchio
Kim Jin-Won,Yoo Bo-Ra,Just Between Lovers
"Park Sun-Ho, Ham Joon-Ho",Seo Sook-Hyang,Wok of Love
Lee Na-Jeong,Im Sang-Choon,Fight My Way
"Oh Choong-Hwan, Park Soo-Jin",Ha Myung-Hee,Doctors
"Kim Sung-Yoon, Baek Sang-Hoon","Yoon Yi-Soo (web novel), kk (web novel), Kim Min-Jung, Im Ye-Jin",Moonlight Drawn by Clouds
"Park Hong-Kyun, Kim Jung-Hyun, Kim Byung-Soo","Hong Jung-Eun, Hong Mi-Ran",Hwayugi
Choi Joon-Bae,Lee A-Ram,Come and Hug Me
Choi Jung-Kyu,Do Hyun-Jung,Children of Nobody
Kwak Bong-Cheol,Ji Ho-Jin,When Time Stopped
"Shin Woo-Cheol, Kwon Hyuk-Chan, Kim Jung-Hyun",Kim Eun-Sook,Secret Garden
Park Soo-Chul,"Seo Bo-Ra, Lee A-Yeon","Coffee, Do Me a Favor"
"Masaki Nishiura, Ryo Tanaka",Naoko Adachi,"Rich Man, Poor Woman"
Lee Eun-Jin,"Goldkiwisae (webcomic), Im Seo-Ra",Feel Good To Die
Ki Min-Soo,Park Jae-Bum,Blood
"Hwang In-Roe, Kim Do-Hyung","In Eun-A, Park So-Hee (comic)",Goong
[],[],UNDER NINETEEN
Park Jin-Suk,"Jung Chan-Mi, Kim Seung-Won",School 2017
Baek Sang-Hoon,"Kim Hyun-Jung, Kim Min-Jung, Im Ye-Jin",Who Are You
"Kim Dae-Jin, Ashbun",Jo Eun-Jung,Hotel King
Kim Yun-Cheol,"Dol Bae (webcomic), Yoo Kyung-Sun",Mama Fairy and the Woodcutter
"Hwang In-Roe, Kim Do-Hyung, Kim Jung-Hyun","Ko Eun-Nim, Kaoru Tada (manga)",Playful Kiss
Park Chan-Yool,Son Eun-Hye,Witch's Love
Seo Won-Tae,"Han Sang-Im, Kim Jong-Sun",Revenge Note 1
Kim Jin-Man,Jin Soo-Wan,Kill Me Heal Me
Jin Hyeok,"Hong Jung-Eun, Hong Mi-Ran",Master’s Sun
"Lee Byung-Hoon, Kim Sang-Hyub",Kim Yi-Young,Dong Yi
Lee Yoon-Jung,"Lee Jung-A, Jang Hyun-Joo",Coffee Prince
Jo Chang-Wan,"Seo Han-Kyeol (web novel), Kim Shin-Hye",Love Alert
Lee Seung-Hoon,Park Chan-Young,The Best Chicken
Sung Joon-Hae,Lee Jae-Yeon,Hi! School - Love On
Jeon Ki-Sang,"Hisaya Nakajo (manga), Lee Young-Chul",To the Beautiful You
[],[],Master in the House
"Ko Dong-Sun, Jung Dae-Yoon","Lee Ha-Na, Choi Soo-Young",Cunning Single Lady
Kim Shin-Il,Jeon Yoo-Ri,Radio Romance
[],[],The Return of Superman
Joo Sung-Woo,Koo Hyun-Sook,A Hundred Years' Inheritance
"Kim Do-Hoon, Lee Sung-Joon","Jung Eun-Gwol (novel), Jin Soo-Wan",The Moon Embracing the Sun
Kim Hyeong-Sik,Chu Hye-Mi,About Time
Jin Hyeok,Park Jin-Woo,Doctor Stranger
Kim Jin-Min,Yoon Hyun-Ho,Lawless Lawyer
Lee Yoon-Jung,"Soon Ggi (original comic), Kim Nam-Hee",Cheese In The Trap
Baek Soo-Chan,Lee Hee-Myung,Dear Fair Lady Kong Shim
Kim Yoo-Jin,Lee Jae-Yoon,The Undateables
 Writer: Kim Do-Hyun,Kim Do-Hyun,Home Alone
Lee Sang-Yeob,Oh Ji-Young,Shopping King Louie
Kwak Jung-Hwan,Jang Hyeok-Rin,The K2
Kim Cheol-Kyu,Choi Yoon-Jung,Emergency Couple
Kim Hyung-Suk,So Hyeon-Kyeong,My Golden Life
[],[],2 Days and 1 Night
Hong Sung-Chang,"Hong Jung-Eun, Hong Mi-Ran",You’re Beautiful
"Kwak Seung-yeong, Choi So-hyeong, Ryu Ji-hwan","Yook So-young, Kang Seung-hui, Choi Seung-yeon, Sin Yu-jin, Yeon Cho-rong, Kim Ji-ye, Kim Hyeon-jin, Choi Na-mu",My Little Old Boy
Kim Jung-Kyu,Jung Hyun-Jung,Five Children
[],[],Wind-bell
Oi Wah Lam,Oi Wah Lam,Twelve Nights
Jo Soo-Won,Park Hye-Ryun,I Hear Your Voice
Ashbun,Kim Ban-Di,Angry Mom
"Jo Young-Gwang, Park Shin-Woo","Lee Choong-Ho (comic), Kim Ji-Woon","Hyde, Jekyll, Me"
Shin Won-Ho,Lee Woo-Jung,Reply 1988
Lee Byung-Hoon,Choi Wan-Kyu,The Flower in Prison
"Min Seon-hong, Kim Jin-ho, Baek Soo-jin",,Law of the Jungle
"Ki Min-Soo, Kim Jin-Woo",Park Jae-Bum,Good Doctor
Choi Hyeong-Hun,Ha Myung-Hee,High Society
Yoon Chang-Beom,Park Pil-Joo,Marry Me Now
Kim Dae-Jin,"Heo Joon-Woo, Kang Yi-Hun",Less than Evil
Sun Hye-Yoon,"Park Eun-Jung, Choi Woo-Joo","Jang Geum, Oh My Grandma"
Na Young Seok,,Little House in the Forest
Jin Hyung-Wook,Moon Young-Nam,Liver or Die
Kang Min-Kyung,Park Min-Joo,Lovely Horribly
"Kim Won-Suk, Hwang In-Hyuk","Kim Tae-Hee, Jeong Eung-Wol",Sungkyunkwan Scandal
"Yu In-Sik, Park Soo-Jin",Kang Eun-Kyung,Romantic Doctor Kim
Kim Yun-Cheol,"Kim Do-Woo, Ji Su-Hyeon",My Name Is Kim Sam Soon
Baek Soo-Chan,"Man Chwi (original comic), Lee Hee-Myung",The Girl Who Sees Smells
Boo Sung-Chul,Choi Ho-Chul,Mask
Lee Chang-Min,Yoon Hyun-Ho,Remember
Park Joon-Hwa,"Im In-Seu (original comic), Lee Dae-II","Bring It On, Ghost"
Kim Jung-Hyun,Jo Yong-Hae,Jugglers
Yoo Je-Won,Yang Hee-Seung,Oh My Ghostess
Jin Hyeok,So Hyeon-Kyeong,Shining Inheritance
Lee Jung Hoon,Lee Seo Eun,Wednesday 3:30 PM
Kim Jung-Min,Jo Hyoun-Kyoung,Grand Prince
Choi Mun-Seok,Bae Yoo-Mi,I Have a Lover
Lee Sang-Yeob,Yang Hee-Seung,Familiar Wife
Lee Byung-Hoon,Kim Young-Hyun,Jewel in the Palace
Lee Hyeong-Min,"Seok Woo (original comic), Moon So-San",Orange Marmalade
Song Hyun-Wook,Park Hae-Young,Another Oh Hae Young
Lee Eung-Bok,Park Hye-Ryun,Dream High
Jang Joon-Ho,Choi Ho-Chul,Time
Ko Jae-Hyun,Shin Jae-Hyung,The Player
Lee Jae-Hoon,Han Ji-Wan,The Ghost Detective
Pyo Min-Soo,"Won Su-Yeon (cartoon), Min Hyo-Jung",Full House
[],[],THE FAN
Joo Sung-Woo,Jang Young-Cheol,Monster
"Kim Min-jong, Kim Myung-jin, Im Kyung-sik",,The Real Men 300
"Lee Joo-Hwan, Keun-hong Kim","Wan-kyu Choi, Jung Hyung-Soo",Jumong
Boo Sung-Chul,Chun Sung-Il,Your Honor
Shin Yoon-Sub,"Jiro Asada (novel), Noh Hye-Young","Please Come Back, Mister"
"Noh Si-yong, Oh Noo-ri","Park Won-woo,Ahn Young-ran,Kim Hyo-jeong,Woo Jeong-hwa,Jung Shi-yoon,Song Bo-ra,Kim Hyang-soo",The King of Mask Singer
Song Hyun-Wook,Joo Hwa-Mi,"Marriage, Not Dating"
Kim Jin-Won,Lee Kyoung-Hee,The Innocent Man
Jung Dae-Yoon,Jo Sung-Hee,She Was Pretty
"Lee Byung-Hoon, Keun-hong Kim",Kim Yi-Young,Yi San
Lee Jung-Sub,Choi Jin-Young,Queen for Seven Days
Hwang Ui-Kyung,Kim Soo-Jin,MAD DOG
"Lee Min-Hong, Lee Eung-Bok","Lee Hyun-Joo, Ko Jung-Won",School 2013
"Lee Jae-Hoon, Choi Yoon-Suk",Park Jae-Bum,Chief Kim
Kim Jin-Man,Hwang Jin-Young,Rebel: Thief Who Stole the People
Kim Kyung-Hee,"Kim Dal-Nim (original comic), Choi Yoon-Kyo",Lucky Romance
Choi Chang-Wook,Kim Jung-Soo,The Rich Son
Baek Ho-Min,Kim Sun-Ok,Jang Bo Ri Is Here
Mo Wan-Il,Kim Tae-Hee,Beautiful Mind
"Ji Byung-Hyun, Kim Sung-Yoon","Hong Jung-Eun, Hong Mi-Ran",Big
"Kim Sang-Hyub, Kim Hee-Won",Son Young-Mok,Glamorous Temptation
Jeon Woo-Sung,"Seung Jung-Yeon (webtoon), Kim Ji-Sun",Your House Helper
Yun Seong-Sik,Jung Yoo-Gyung,You Are The Best
Park Gyung-Ryeol,Park Un-Hee,Let Me Introduce Her
"Son Hyeong-Seok, Park Seung-Woo","Kim Soo-Eun, Park Hyo-Yeon",The Guardian
Baek Soo-Chan,Lee Hee-Myung,Into the World Again
Ahn Gil-ho,"Lee Moon-hwi,Oh Bo-hyun",I Order You
Kim Cheol-Kyu,Jin Soo-Wan,Chicago Typewriter
Kim Jong-Hak,Song Ji-Na,The Great Doctor
"Jang Keun-Su, Lee Sung-Joon",Hyun Go-Woon,Creating Destiny
Kim Jin-Min,Jung Yoo-Gyung,Marriage Contract
"Pyo Min-Soo, Lee Min-Cheol",Lee Myung-Sook,Heartstrings
Shin Yong-Whee,Seol Kyung-Eun,Hide and Seek
Shin Kyung-Soo,"Kim Young-Hyun, Park Sang-Yeon",Six Flying Dragons
"Shin Woo-Cheol, Kwon Hyuk-Chan, Kim Jung-Hyun",Kim Eun-Sook,A Gentleman’s Dignity
"Kim Byeong-Wook, Kim Young-Ki, Jo Chan-Ju","Lee Young-Chul, Lee So-Jung, Jo Sung-Hee",High Kick Through the Roof
"Park Hong-Kyun, Kim Keun-Hong","Kim Young-Hyun, Park Sang-Yeon",The Great Queen Seon Deok
"Lee Eung-Bok, Mo Wan-Il","Heo Sung-Hye, Jang Eun-Mi",Dream High 2
Kim Sang-Hyub,"Kim Yi-Ryung (novel), Song Ji-Na",The King Loves
"Lee Jae-Kyu, Jung Dae-Yoon, Song Ji-Won",Hong Jin-Ah,The King 2 Hearts
Oh Se-Gang,Yoon Young-Mi,The Good Witch
Jung Jung-Hwa,Yoon Nan-Joong,Flower Boy Ramyun Shop
Jin Chang-Gyu,Kim Sung-Min,Bad Papa
"Min Yeon-Hong, Lee Jung-Hoon","Agatha Christie (novel), Park Jin-Woo","Ms Ma, Nemesis"
Nam Gun,Kwon Soon-Gyu,Jackpot
Han Sang-Woo,Haechoolring (webcomic),"My Lawyer, Mr. Joe 2: Crime and ..."
Park Hyun-Suk,Kwon Hye-Ji,Just Dance
Kim Young-Kyoon,Jung Do-Yoon,Witch’s Court
Kim Cheol-Kyu,Jung Seo-Kyoung,Mother
Song Hyun-Wook,Team Getname (original comic),Melo Holic
Jung Jung-Hwa,"Chon Kye-Young (cartoon), Yoo Young-A",Bel Ami
"Yoon Jae-Moon, Oh Hyun-Jong",Park Jung-Ran,A Thousand Kisses
Park Hyung-Ki,No Ji-Sul,My Lovely Girl
Han Sang-Woo,Kim In-Young,Black Knight
"Lee Eung-Bok, Baek Sang-Hoon","Choi Ho-Chul, Yoo Bo-Ra",Secret Love
Kim Jin-Min,Lee Hyun-Joo,Pride and Prejudice
Choi Kyoo-Sik,Lim Soo-Mi,Let's Eat 3
Kim Jung-Min,"Yoo Hyun-Sook (webcomic), Kim Eun-Jung",The Man Living in Our House
Ha Byung-Hoon,Kwon Hye-Joo,Go Back Couple
Son Jung-Hyun,Bae Yoo-Mi,Should We Kiss First
Jo Young-Gwang,"Choi Soo-Jin, Choi Chang-Hwan",Heart Surgeons
Kim Hee-Won,Lee Myung-Hee,Money Flower
Han Hee,"Hwang Mi-Na (comic), Moon Hee-Jung",Goodbye Mr. Black
"Shin Yong-Whee, Nam Ki-Hoon",Lee Eun-Mi,Tunnel
Ji Yeong-Su,Jung Sung-Hee,Room No. 9
"Kwon Seok-Jang, Kang Dae-Sun",Jang Young-Sil,My Princess
"Kim Sang-Ho, Jung Dae-Yoon",Jung Yoon-Jung,Arang and the Magistrate
Lee Gun-Joon,Yoon Kyung-Ah,All About My Mom
[],[],It’s Dangerous Beyond The Blankets
Son Hyeong-Seok,"Hyun Go-Woon (novel), Kwon In-Chan, Kim Seon-Mi",Shine or Be Mad
Lee Jung-Hyo,"Lee Sun-Jung, Ban Ki-Ri",A Witch's Romance
Kim Kyu-Tae,No Hee-Kyung,"It’s Okay, That’s Love"
Kim Ji-Hyun,Kim Ji-Hyun,Splash Splash Love
[],[],The Manager
Kwon Seok-Jang,Seo Sook-Hyang,Pasta
"Park Hong-Kyun, Lee Dong-Yoon","Hong Mi-Ran, Hong Jung-Eun",The Greatest Love
Choi Eun-Jong,"Meen (webtoon), Baek Seung-Hoon (webtoon), Oh Young-Suk, Lee Se-Woon",Dokgo Rewind
Nam Tae-Jin,Baek Woon-Chul,Switch
Kim Sung-Yoon,Jung Hyun-Jung,Discovery of Love
[],[],We Got Married
"Kim Su-Ryong, Kwon Hyuk-Chan","Choi Yoon-Jung, Kim Ye-Ri",Lie to Me
"Yoon Jae-Moon, Jung Ji-In",Kim Sa-Kyung,Rosy Lovers
Lee Dong-Yoon,Lee Sun-Hye,20th Century Boy and Girl
[],[],"Village Survival, the Eight"
Lee Yong-Seok,Do Hyun-Jung,The Village Achiara’s Secret
"Kim Byeong-Wook, Kim Cha-Dong, Kim Young-Ki","Song Jae-Jung, Lee Young-Chul",Unstoppable High Kick
Hwang In-Hyuk,Koo Hyun-Sook,Laurel Tree Tailors
Kim Won-Suk,Kim Eun-Hee,Signal
Jo Hyun-Tak,Yang Hyuk-Moon,Mirror of the Witch
Na Young Seok,,Newlywed Diary S2
[],[],King of High School
"Park Hong-Kyun, Kim Hee-Won","Hong Mi-Ran, Hong Jung-Eun",Warm and Cozy
Kim Sang-Ho,Moon Hee-Jung,Can You Hear My Heart?
[],[],Neighborhood Lawyer Jo Deul Ho
[],[],Happy Together
[],[],"My Husband, Mr. Oh!"
"Oh Kyung-Hoon, Jang Joon-Ho","Son Young-Mok, Cha Yi-Young","Bad Thief, Good Thief"
"Lee Jin-Seo, Lee So-Yeon","Oh Sun-Hyung, Jung Do-Yoon",Babyfaced Beauty
"Han Hee, Oh Hyun-Jong","Motoka Murakami (manga), Han Ji-Hoon, Jeon Hyeon-Jin",Dr. Jin
[],[],Our Gap Soon
"Kim Jin-Young, Nam Ki-Hoon",Park Young-Sook,Full House Take 2
Kim Kyu-Tae,No Hee-Kyung,"That Winter, The Wind Blows"
Baek Ho-Min,Son Young-Mok,May Queen
[],[],The Night Watchman
Joo Sung-Woo,Koo Hyun-Sook,The Legendary Witch
[],[],Defendant
No Do-Cheol,"Min Ji-Eun, Won Young-Sil",Partners for Justice
"Shin Woo-Cheol, Kim Jung-Hyun",Kang Eun-Kyung,Gu Family Book
Kim Jung-Kyu,"Bang Hak-Ki (comic), Chae Seung-Dae (ep.1-10), Park Kye-Ok (ep.11-24)",Inspiring Generation
[],[],The Scholar Who Walks the Night
[],[],Whisper
Kang Woo-Suk,Sung-Hong Kim,Two Cops
"Choi Mun-Seok, Park Shin-Woo",Yoon Ji-Ryeon,Angel Eyes
[],[],K-POP Extreme Survival
[],[],THE Producers
